Roulette,Wheel:,,,74516.626,,,,,
163,84464.76,66317.58,42422.5,,,,,,
164,84464.76,64616.27,50718.85,,,,,,
165,84464.76,64344.08,49833.5,,,,,,
166,84464.76,63466.65,48985.87,,,,,,
167,84464.76,64110.99,48224.78,,,,,,
168,83018.85,62744.78,41578.6,,,,,,
169,77417.29,60076.84,37253.11,,,,,,
170,77417.29,61399.52,42648.37,,,,,,
171,77417.29,61886.98,42648.37,,,,,,
172,77735.47,62644.88,40430.79,,,,,,
173,77735.47,63216.75,46521.2,,,,,,
174,77871.36,62292.44,42050.71,,,,,,
175,77417.29,60594.77,44087.86,,,,,,
176,85101.66,60836.96,35446.97,,,,,,
177,85101.66,59856.37,30063.68,,,,,,
178,86184.85,59662.72,29868.85,,,,,,
179,86184.85,62218,31018.42,,,,,,
180,85101.66,61854.55,34819.37,,,,,,
181,85101.66,61406.14,34819.37,,,,,,
182,85101.66,60707.02,30547.12,,,,,,
183,87319.98,59588.71,34969.43,,,,,,
184,86474.24,62603.56,34969.43,,,,,,
185,86510.68,65305.18,33362.11,,,,,,
186,88600.1,64692.33,33362.11,,,,,,
187,88600.1,69118.28,35326.27,,,,,,
188,89229.76,73830.86,43226.88,,,,,,
189,89229.76,74385.51,38177.74,,,,,,
190,89229.76,73994.42,38177.74,,,,,,
191,89229.76,73823.4,47525.73,,,,,,
192,89229.76,71541.54,45671.49,,,,,,
193,89229.76,73517.14,45067.17,,,,,,
194,89229.76,73383.09,45067.17,,,,,,
195,89711.93,71763.92,47565.57,,,,,,
196,89711.93,69521.84,42528.74,,,,,,
197,89711.93,70723.05,45865.35,,,,,,
198,89711.93,71177.08,44256.15,,,,,,
199,92548.7,75745.27,44256.15,,,,,,
200,89490.74,73151.38,44256.15,,,,,,
201,90903.45,71799.41,44475.21,,,,,,
202,90903.45,71995.76,44475.21,,,,,,
203,90903.45,73495.75,50240.32,,,,,,
204,90903.45,73247.54,49143.25,,,,,,
205,90085.42,73700.57,39883.43,,,,,,
206,90085.42,71300.22,40411.74,,,,,,
207,90085.42,69891.06,40411.74,,,,,,
208,91999.42,69754.63,50796.64,,,,,,
209,92911.73,71683.05,42156.76,,,,,,
210,92911.73,69365.81,53953.78,,,,,,
211,92911.73,68729.61,47320.26,,,,,,
212,90085.42,66031.23,46114.28,,,,,,
213,90085.42,67164.7,43387.61,,,,,,
214,90085.42,66201.67,38068.83,,,,,,
215,90085.42,66152.35,43457.63,,,,,,
216,89234.5,65291.49,44519.3,,,,,,
217,89234.5,67208.91,41833.38,,,,,,
218,88320.62,65692.81,33007.2,,,,,,
219,88320.62,63595.98,33007.2,,,,,,
220,80983.84,62267.24,37858.75,,,,,,
221,80983.84,63235.92,40305.25,,,,,,
222,80983.84,61981.41,32729.93,,,,,,
223,80983.84,61344.02,40305.25,,,,,,
224,75760.44,58595.79,39305.9,,,,,,
225,72145.52,59276.75,39467.39,,,,,,
226,72145.52,58986.81,38042.49,,,,,,
227,72145.52,58591.88,42203.06,,,,,,
228,72145.52,56735.6,28835.6,,,,,,
229,74194.3,57624.25,39372.04,,,,,,
230,74194.3,56312.36,33761.04,,,,,,
231,74194.3,56166.71,33578.04,,,,,,
232,74194.3,58097.7,33578.04,,,,,,
233,71901.08,57647.26,35188.18,,,,,,
234,70711.21,58128.53,36163.88,,,,,,
235,70299.95,59539.51,34072.94,,,,,,
236,70413.89,62120.52,42510.95,,,,,,
237,70413.89,61292.16,44804.62,,,,,,
238,71961.66,59978.19,33704.55,,,,,,
239,75274.15,60242.34,44211.91,,,,,,
240,75274.15,58765.34,40191.18,,,,,,
241,72471.96,56788.77,36653.47,,,,,,
242,75941.51,55939.16,34131.23,,,,,,
243,75941.51,57374,34131.23,,,,,,
244,71818.79,59051.92,37538.52,,,,,,
245,71818.79,56844.87,32621.59,,,,,,
246,79883.34,58154.54,32621.59,,,,,,
247,66880.68,55214.79,35214.79,,,,,,
248,66880.68,55734.69,36340.17,,,,,,
249,72101.45,56641.66,39168.14,,,,,,
250,72101.45,55708.54,37922.28,,,,,,
251,66395.68,55219.45,37922.28,,,,,,
252,66395.68,54465.92,29563.29,,,,,,
253,67605.58,53145.15,29563.29,,,,,,
254,72381.45,53272.8,21748.25,,,,,,
255,82182.64,55734.08,35796.06,,,,,,
256,82182.64,55102.94,35247.28,,,,,,
257,82182.64,57747.27,36558.79,,,,,,
258,80597.89,58102.25,37190.83,,,,,,
259,84655.6,59039.71,40466.78,,,,,,
260,80597.89,58048.29,35619.26,,,,,,
261,80597.89,58728.78,39139.21,,,,,,
262,79764.6,59579.89,39139.21,,,,,,
263,79764.6,59370.93,34802.69,,,,,,
264,78349.04,58765.75,30180.22,,,,,,
265,78349.04,61448.96,39456.5,,,,,,
266,78349.04,62463.52,43515.12,,,,,,
267,78349.04,61014.92,43349.4,,,,,,
268,77385.47,61153.97,43045.72,,,,,,
269,76304.6,60565.32,34370.42,,,,,,
270,76304.6,60337.02,34370.42,,,,,,
271,75589.93,59330.86,37458.16,,,,,,
272,75589.93,56172.68,23733.37,,,,,,
273,78037.39,57647.13,23733.37,,,,,,
274,78037.39,62080.35,29951.31,,,,,,
275,79234.69,63733.69,46301.71,,,,,,
276,79234.69,64036.99,35383.69,,,,,,
277,80685.3,64104.11,35058.95,,,,,,
278,80685.3,62143.36,35383.69,,,,,,
279,79234.69,61759.59,29314.16,,,,,,
280,79234.69,62243.78,29936.24,,,,,,
281,79234.69,61858.14,36771.62,,,,,,
282,79234.69,61740.63,27093.07,,,,,,
283,79234.69,62622.61,27093.07,,,,,,
284,79234.69,62585.84,31018.77,,,,,,
285,79863.43,65773.68,31018.77,,,,,,
286,79863.43,65771.39,42819.13,,,,,,
287,79863.43,65144.49,51580.72,,,,,,
288,79863.43,62233.43,43301.47,,,,,,
289,79863.43,62385.4,35509.26,,,,,,
290,79863.43,63315.32,42562.05,,,,,,
291,78093.13,61253.51,43276.34,,,,,,
292,78645.47,59218.47,39020.71,,,,,,
293,77295.46,56548.7,29451.3,,,,,,
294,77295.46,57029.53,36267.71,,,,,,
295,72992.59,57606.49,40655.65,,,,,,
296,72992.59,56647.84,40788.4,,,,,,
297,81249.68,56516.77,37225.13,,,,,,
298,73233.65,56162.15,33719.49,,,,,,
299,72307.75,55577.13,37303,,,,,,
300,72307.75,56185.9,26210.91,,,,,,
301,68314.9,56229.37,34895.51,,,,,,
302,68586.55,54314.45,29002.86,,,,,,
303,69148.02,55216.32,29002.86,,,,,,
304,69148.02,56971.55,29002.86,,,,,,
305,68038.32,56207.29,34232.93,,,,,,
306,68038.32,55125.37,31624.5,,,,,,
307,69561.1,56156.37,38319.49,,,,,,
308,69561.1,56001.33,35765.88,,,,,,
309,69561.1,55250.14,34939.32,,,,,,
310,69561.1,54171.2,33639.02,,,,,,
311,71396.75,57724.86,37843.81,,,,,,
312,71950.25,58657.48,42037.69,,,,,,
313,74618.36,59816.97,35039.95,,,,,,
314,74618.36,60936.35,33696.18,,,,,,
315,74462.15,59221.28,40004.88,,,,,,
316,79153.05,56776.37,36709.02,,,,,,
317,79639.82,56406.13,39540.03,,,,,,
318,79639.82,57005.88,30815.03,,,,,,
319,78905.69,57658.72,23886.39,,,,,,
320,78905.69,57574.89,35317.55,,,,,,
321,74071.82,56682.23,34599.73,,,,,,
322,74071.82,56576.1,42251.99,,,,,,
323,72146.86,54183.57,34063.53,,,,,,
324,74334.26,57042.73,38290.51,,,,,,
325,79236.08,57532.97,38290.51,,,,,,
326,79236.08,57969.62,38290.51,,,,,,
327,72931.06,61181.55,41858.78,,,,,,
328,77221.13,60190.1,40817.08,,,,,,
329,77221.13,60146.31,31270.54,,,,,,
330,78809.42,58796.14,27149.05,,,,,,
331,74037.1,57429.51,38107.49,,,,,,
332,75582.69,55810.63,30284.75,,,,,,
333,75582.69,56115.89,24638.99,,,,,,
334,79940.89,54418.35,24638.99,,,,,,
335,79940.89,56563.24,28953.66,,,,,,
336,79940.89,57774.94,30001.45,,,,,,
337,79940.89,58282.4,28336.79,,,,,,
338,72732.98,55439.92,28336.79,,,,,,
339,72732.98,55151.92,22107.24,,,,,,
340,74264.86,58381.08,22107.24,,,,,,
341,74264.86,59210.4,22107.24,,,,,,
342,74603.65,60767.85,22107.24,,,,,,
343,74603.65,59636.84,22107.24,,,,,,
344,74603.65,59788.2,41559.73,,,,,,
345,78506.1,60055.02,42798.15,,,,,,
346,76292.66,59720.62,44114.66,,,,,,
347,75020.28,58692.34,34914.45,,,,,,
348,75020.28,60719.94,34914.45,,,,,,
349,75020.28,60512.22,43046.64,,,,,,
350,75020.28,60150.32,27566.35,,,,,,
351,76895.78,60466.85,40232.65,,,,,,
352,76067.58,61987.79,39996.24,,,,,,
353,79484.82,61535.17,41204.5,,,,,,
354,76067.58,61591.54,41382.6,,,,,,
355,77777.17,61098.44,41382.6,,,,,,
356,78181.57,62241.77,41382.6,,,,,,
357,78920.07,62469.2,40685.9,,,,,,
358,73844.54,62180.29,44489.21,,,,,,
359,73844.54,61991.44,39157.93,,,,,,
360,72054.41,60819.34,38797.03,,,,,,
361,73709.06,61093.05,43502.13,,,,,,
362,75865.41,61186.25,42003.96,,,,,,
363,78753.8,61118.45,39372.03,,,,,,
364,75865.41,61548.78,31892.14,,,,,,
365,76491.55,61652.06,39372.03,,,,,,
366,76554.51,61810.44,42477.63,,,,,,
367,77612.62,59483.31,34136.73,,,,,,
368,79539.53,61165.49,36143.42,,,,,,
369,80274.28,63601.93,42376.18,,,,,,
370,80274.28,63077.09,34426.22,,,,,,
371,80669.52,63185.53,47303.1,,,,,,
372,79497.46,63620.16,44658.1,,,,,,
373,79497.46,65922.77,36554.9,,,,,,
374,79497.46,65432.24,42746.51,,,,,,
375,79497.46,66210.65,45633.72,,,,,,
376,79497.46,64934.35,42890.75,,,,,,
377,79222.89,64328.28,45633.72,,,,,,
378,79997.01,63557.03,46326.26,,,,,,
379,73021.1,60373.71,38186.92,,,,,,
380,72510.11,59967.17,41748.97,,,,,,
381,72510.11,59834.69,41637.53,,,,,,
382,70917.66,58940.55,41200.98,,,,,,
383,71951.62,59325.27,41744.43,,,,,,
384,73531.77,58208.08,36476.01,,,,,,
385,75534.39,58870.71,36503.86,,,,,,
386,75534.39,62187.03,42053.51,,,,,,
387,82665.01,59375.04,36506.73,,,,,,
388,77553.41,57730.7,32533.2,,,,,,
389,77553.41,61732.33,42466.53,,,,,,
390,77553.41,60188,38753.45,,,,,,
391,74304.89,61002.74,37100.89,,,,,,
392,78467.41,60673.01,43700.47,,,,,,
393,74280.4,59980.7,44390.11,,,,,,
394,74617.62,57824.72,32992.81,,,,,,
395,74617.62,57548.43,34601.05,,,,,,
396,74617.62,57504.51,39711.16,,,,,,
397,75708.88,58636.91,43098.24,,,,,,
398,74297.42,56859.84,37846.05,,,,,,
399,73377.1,55826.93,36169.21,,,,,,
400,73377.1,55967.55,34570.33,,,,,,
401,72725.53,53200.6,30315.58,,,,,,
402,72725.53,54710.8,23381.86,,,,,,
403,72348.07,57552.8,30315.58,,,,,,
404,72348.07,57896.13,40116.05,,,,,,
405,72348.07,57677.77,32784.61,,,,,,
406,72348.07,59742.8,44460.97,,,,,,
407,72902.35,59208.61,40844.83,,,,,,
408,77254,58944.96,26938.73,,,,,,
409,75966.89,59504.8,38086.07,,,,,,
410,75966.89,57675.74,36863.08,,,,,,
411,72408.57,57930.38,37260.83,,,,,,
412,72408.57,57351.65,35901.74,,,,,,
413,72408.57,57447.22,29067.93,,,,,,
414,72408.57,57628.56,33503.71,,,,,,
415,72408.57,57421.94,29715.83,,,,,,
416,72386.82,58443.7,41257.2,,,,,,
417,72386.82,55233.55,35304.42,,,,,,
418,72912.58,54126.76,27657,,,,,,
419,72912.58,54276.1,26706.91,,,,,,
420,71642.09,52184.07,30494.1,,,,,,
421,70009.97,51824.12,27408.16,,,,,,
422,70183.09,52813.96,30494.1,,,,,,
423,70009.97,53487.99,30065.5,,,,,,
424,71937.9,56320.37,34105.59,,,,,,
425,71937.9,57453.59,31034.44,,,,,,
426,65401.2,53371.63,32319.41,,,,,,
427,65578.38,53462.58,32422.92,,,,,,
428,67121.64,52320.07,33231.6,,,,,,
429,67121.64,52045.52,34221.61,,,,,,
430,67121.64,52868.1,35576.59,,,,,,
431,71525.09,52539.58,22886.5,,,,,,
432,64837.06,51374.74,35618.25,,,,,,
433,68519.69,51285.05,30917.64,,,,,,
434,65072.83,52373.85,37559.97,,,,,,
435,69702.14,51664.75,32898.08,,,,,,
436,64598.25,51287.3,32033.43,,,,,,
437,64868.32,50269.32,32171.51,,,,,,
438,61980.17,50010.15,33081.86,,,,,,
439,67257.48,50482.3,18115.3,,,,,,
440,63952.53,49929.99,22354.89,,,,,,
441,64727.02,50879.02,31517.37,,,,,,
442,68920.24,49882.86,29487.45,,,,,,
443,68920.24,50114.25,28178.47,,,,,,
444,70001.34,52968.39,29962.64,,,,,,
445,70001.34,53690.37,31517.37,,,,,,
446,70001.34,53444.67,27625.99,,,,,,
447,72014,52890.66,27625.99,,,,,,
448,72014,55696.66,27625.99,,,,,,
449,72014,55911.66,36480.37,,,,,,
450,72014,55894.61,31750.61,,,,,,
451,71582.69,56402.01,38558.35,,,,,,
452,71295.57,54060.1,35693.77,,,,,,
453,73153.38,53691.62,32610.67,,,,,,
454,71295.57,53619.47,24924.53,,,,,,
455,69319.81,55436.91,37054.6,,,,,,
456,69113.46,53532.84,36413.56,,,,,,
457,72712.67,55975.32,33106.86,,,,,,
458,68886.78,54527.87,33106.86,,,,,,
459,67825.72,54786.05,27045.29,,,,,,
460,67934.53,55426.04,37080.32,,,,,,
461,69675.41,56231.06,36129.88,,,,,,
462,67934.53,54950.01,38343.08,,,,,,
463,67934.53,53184.35,33058.74,,,,,,
464,67934.53,53430.25,21415.01,,,,,,
465,67934.53,53621.09,32850.37,,,,,,
466,71666.45,56841.25,40277.87,,,,,,
467,72788.89,58556.72,44943.44,,,,,,
468,74379.79,57643.81,39331.24,,,,,,
469,72556.89,60149.13,48732.8,,,,,,
470,74404.94,62118.26,36771.29,,,,,,
471,74404.94,60088.71,36771.29,,,,,,
472,75223.59,58804.65,36771.29,,,,,,
473,75273.1,58592.11,36771.29,,,,,,
474,75499.05,57994.8,29483.14,,,,,,
475,75499.05,57809.36,29483.14,,,,,,
476,75273.1,57849.14,34315.46,,,,,,
477,75273.1,56713.9,30370.07,,,,,,
478,78105.79,59254.99,33986.72,,,,,,
479,76633.04,57000.34,33986.72,,,,,,
480,75469.69,57496.33,31436.99,,,,,,
481,75469.69,57949.96,31436.99,,,,,,
482,75469.69,59741.77,45308.82,,,,,,
483,75078.86,58204.58,36680.77,,,,,,
484,75078.86,56664.95,34324.4,,,,,,
485,72685.22,53947.98,25064.22,,,,,,
486,78372.95,55980.64,25547.65,,,,,,
487,76300.61,58274.18,32443.12,,,,,,
488,76696.98,58458.25,32758.64,,,,,,
489,74771.52,57942.68,32758.64,,,,,,
490,72685.22,57835.56,32758.64,,,,,,
491,77568.08,58080.44,37922.34,,,,,,
492,75076.33,58369.31,38611.34,,,,,,
493,81159.77,58316.14,38611.34,,,,,,
494,81159.77,57069.69,37099.32,,,,,,
495,74429.79,57968.19,37099.32,,,,,,
496,74429.79,57114.47,27832.15,,,,,,
497,74429.79,56247.53,26431.4,,,,,,
498,72823,57248.44,39226.19,,,,,,
499,72823,57676.84,38247.82,,,,,,
500,72610.22,56708.19,32872.61,,,,,,
,,,,,,,,,
1,41271.22,21343.89,1936.05,,,,,,
2,48587.46,26462.57,4459.03,,,,,,
3,48587.46,30575.54,6460.43,,,,,,
4,51333.81,31652.93,1375.5,,,,,,
5,50710.22,31719.58,11772.09,,,,,,
6,50710.22,32095.35,11508.27,,,,,,
7,53909.63,36119.79,14803.1,,,,,,
8,59918.9,39298.02,16192.42,,,,,,
9,52180.97,39706.27,16192.42,,,,,,
10,62044.64,40228.68,16192.42,,,,,,
11,62044.64,41200.51,14908.42,,,,,,
12,67332.35,43010.27,25747.29,,,,,,
13,67332.35,42262.75,25521.44,,,,,,
14,67332.35,42522.24,14089.66,,,,,,
15,71489.81,43351.16,22588.57,,,,,,
16,75323.8,42410.08,14920.77,,,,,,
17,73284.87,45035.24,19422.82,,,,,,
18,73284.87,45953.35,25576.94,,,,,,
19,73284.87,46881.03,27213.74,,,,,,
20,73284.87,47794.96,9155.71,,,,,,
21,73284.87,46015.41,25364.33,,,,,,
22,73478.35,50069.8,21660.43,,,,,,
23,73284.87,49522.13,24545.99,,,,,,
24,73284.87,51898.18,29757.98,,,,,,
25,73284.87,51064.53,28791.7,,,,,,
26,73726.05,53552.06,30695.46,,,,,,
27,72394.33,52319.46,27404.21,,,,,,
28,72394.33,52658.56,28798.73,,,,,,
29,76950.66,56619.49,28798.73,,,,,,
30,78206.09,55694.41,33909.82,,,,,,
31,79400.88,59150.24,32864.54,,,,,,
32,79400.88,58625.71,17430.2,,,,,,
33,79400.88,56844.01,32864.54,,,,,,
34,79400.88,58186.27,39968.63,,,,,,
35,83168.18,57810.68,31894.28,,,,,,
36,79400.88,54338.98,31924.94,,,,,,
37,74557.36,56185.08,31924.94,,,,,,
38,74557.36,55461.67,36666.32,,,,,,
39,74557.36,55834.99,28091.85,,,,,,
40,74557.36,54968.81,18814.73,,,,,,
41,74557.36,55075.26,18814.73,,,,,,
42,74557.36,57365.51,18814.73,,,,,,
43,74557.36,57623.19,32771.29,,,,,,
44,74557.36,56912.42,36369.65,,,,,,
45,74557.36,53650.87,26151.63,,,,,,
46,73430.41,55283.55,27863.85,,,,,,
47,73430.41,53978.1,22562.15,,,,,,
48,73430.41,57192.25,41874.74,,,,,,
49,71758.78,54923.31,30670.17,,,,,,
50,67215.16,54086.38,33195.99,,,,,,
51,70557.71,54317.23,33195.99,,,,,,
52,67215.16,54057.13,33117.42,,,,,,
53,71120.6,53260.38,33117.42,,,,,,
54,71120.6,52220.54,27387.44,,,,,,
55,71797.47,54331.2,33304.13,,,,,,
56,75440.37,55065.33,27404.93,,,,,,
57,75440.37,54091.41,21560.91,,,,,,
58,75440.37,54612.1,32371.37,,,,,,
59,75440.37,53754.76,32371.37,,,,,,
60,75440.37,55950.1,32021.41,,,,,,
61,75440.37,54813.15,34639.99,,,,,,
62,75440.37,54207.32,26321.06,,,,,,
63,71925.92,52699.1,25439.89,,,,,,
64,71925.92,52467.8,27902.37,,,,,,
65,71185.15,52022.76,28615.42,,,,,,
66,71185.15,50024.85,30133.34,,,,,,
67,68560.32,48628,30342.66,,,,,,
68,69645.31,50173.15,26466.15,,,,,,
69,67008.78,49264.91,26466.15,,,,,,
70,67008.78,48875.48,29323.53,,,,,,
71,73267.33,48532.55,24877.34,,,,,,
72,76306.63,50760.2,24964.78,,,,,,
73,76306.63,52736.41,38532.5,,,,,,
74,76306.63,52122.65,28087.09,,,,,,
75,76306.63,52831.33,34929.91,,,,,,
76,76306.63,54243.49,33767.32,,,,,,
77,76306.63,53422.84,33629.34,,,,,,
78,68352.92,53110.51,30317.52,,,,,,
79,73385.69,54036.65,33767.32,,,,,,
80,73385.69,50896.66,33097.9,,,,,,
81,70402.85,48123.6,27135.97,,,,,,
82,70402.85,45281.93,22012.8,,,,,,
83,70402.85,44668.23,14810.68,,,,,,
84,70402.85,46486.36,14623.95,,,,,,
85,68380.97,46862.34,15954.71,,,,,,
86,66851.24,47522.54,19448.04,,,,,,
87,66851.24,47593.04,27653.72,,,,,,
88,66851.24,48147.56,24029.98,,,,,,
89,66851.24,49088.48,25378.87,,,,,,
90,66851.24,48129.23,30476.57,,,,,,
91,66851.24,46206.84,26086.47,,,,,,
92,64602.87,49286.3,26086.47,,,,,,
93,67009.42,49186.93,28655.18,,,,,,
94,67009.42,51079.91,31249.82,,,,,,
95,67011.57,51594.17,22332.67,,,,,,
96,68014.84,52994.17,31249.82,,,,,,
97,68014.84,53527.23,35499.56,,,,,,
98,67009.42,53278.77,29905.31,,,,,,
99,72960.35,54842.27,26204.89,,,,,,
100,72960.35,54601.03,34497.03,,,,,,
101,72960.35,52665.68,32665.22,,,,,,
102,67166.56,53313.92,31154.55,,,,,,
103,69806.15,51316.55,24290.51,,,,,,
104,78130.6,52436.27,30617.23,,,,,,
105,78130.6,50233.73,29929.49,,,,,,
106,78130.6,50283.76,26425.88,,,,,,
107,78130.6,52397.74,32231.56,,,,,,
108,78130.6,56244.03,36158.39,,,,,,
